Food,Serving,Total Weight (gms),Ingredients
Makki Roti,1,60,Makai Atta-30 gms; Common salt-15 gms; Ajwain-15 gms;
Jeera-Kari-Patta Water,1,22,Curry leaves-7 gms; Cumin seeds-15 gms;
Jeera Water,1,15,Cumin seeds-15 gms
Vegetable Cutlet,3,475,POTATO-175 gms; Cabbage-62 gms; Peas-62 gms; carrot-62 gms; Onion-62 gms; Chillies-7 gms; Coriander leaves-15 gms; Mustard oil-30 gms
Veg Grilled Salad,1,873,Zucchini-118 gms; BRINJAL-200 gms; Capsicum-120 gms; Onion-60 gms; Tomato-90 gms; Mushroom-60 gms; Common salt-4 gms;Black Pepper-4 gms; Lettuce Leaf-125 gms; Cucumber-62 gms; Lemon-15 gms;Parsley-15 gms
Gluten Free Wrap (Rice flour),1,210,Common salt-15 gms; Rice Flour-150 gms; ; Cumin seeds-15 gms; Garlic Powder-15 gms; Olive oil-15 gms
Palak Patta Chaat,1,1078,SPINACH-30 gms; Turmeric powder-4 gms; Chillies-4 gms; Common salt-4 gms; Mustard oil-15 gms; Tamarind-7 gms; Onion-62 gms; Tomato-62 gms; Coriander leaves-15 gms; Besan-875 gms;
Veg Dalia(Broken wheat),1,455,carrot-62 gms; Peas-62 gms; Onion-50 gms; Tomato-50 gms; Ginger-20 gms; Chillies-20 gms; Cumin seeds-7 gms; Soyabean oil-15 gms; Curry leaves-3 ; Coriander leaves-15 gms; Common salt-4 gms; dalia-150 gms
Chana Dal bada,2,119,Chillies; Ginger; Coriander seeds-15 gms; FENUGREEK SEEDS-15 gms; Cumin seeds-7 gms; Cinnamon-0.5 ; Asafoetida-7 gms; Curry leaves-15 ; Coriander leaves-45 gms; Common salt-15 gms; Sunflower oil-15 gms; Channa Dal-1.5  
Channa Chat,1,565,Chillies-15 gms; Coriander leaves-15 gms; Common salt-15 gms; Onion-125 gms; TOMATO-150 gms;Cucumber-200 gms ; Cumin seeds-15 gms; Chat Masala-15 gms; Lemon-15 gms
Chana Dal and Cabbage Tikki,3,95,Cabbage-1 ; Onion-60 gms ; Chillies-20 gms; Sunflower oil-15 gms;
Rajma Tikki,3,522,Ginger-7 gms;Garlic-7 gms; Cumin seeds-4 gms; Common salt-7 gms; Coriander leaves-15 gms; Sunflower oil-15 gms; Red chilli Powder-7 gms; Rajma-300 gms;Onion-160 gms
Masala Poori,3,356,Wheat-250 gms; Chillies-20 gms; Ginger-4 gms; Cumin seeds-7 gms; Common salt-15 gms; Sunflower oil-15 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms
"Beetroot, Cucumber and Tomato Salad",1,585,Beet root-140 gms ; Cucumber-200 gms; Tomato-120 gms; Parsley-125 gms
LETTUCE LEAVES & PAPAYA SALAD,1,642,Papaya-250 gms; carrot-62 gms; Cucumber-62 gms; Lettuce Leaf-180 gms;Mint leaves-7 gms; Coriander leaves-7 gms; soya sauce-7 gms; Lemon-15 gms; Cherry Tomato-15 gms; Red chilli Powder-7 gms; Lemon-15 gms; Common salt-15 gms
Lettuce wrapped egg,2,522,Lettuce Leaf-20 gms; TOMATO RIPE-150 gms; Onion-150 gms; Coriander leaves-15 gms; Lemon-15 gms; Egg-130 gms; Common salt-15 gms; Chillies-20 gms; Olive oil-7 gms
Channa Salad (Black),1,623,Gram dal-125 gms; Onion-60 gms; Cucumber -150 gms; TOMATO-90 gms; Capsicum-150 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Lemon-7 gms; Common salt-7 gms;Black Pepper-4 gms
Jau Vegetable Dalia,4,517,Cooking oil-15 gms; carrot-62 gms; TOMATO-150 gms; Cumin seeds-7 gms; Turmeric powder-4 gms; Common salt-7 gms; dalia-150 gms; Peas-100 gms; Ginger powder-15 gms; Garam Masala-7 gms
Rice Tofu Sizzler,4,489,Ginger-7 gms;Garlic-7 gms; Cooking oil-15 gms; Common salt-15 gms; Capsicum-45 gms; Mint leaves-15 gms; Onion-150 gms; Lettuce Leaf-20 gms; Rice-50 gms; Tofu-150 gms; Cumin seeds-15 gms
"Cherry, Blueberries & Bell peppers salad",4,376,Capsicum-100 gms; Common salt-7 gms;Black Pepper-4 gms; Olive oil-15 gms; Blueberries-250 gms
Rice Vegetable sizzler,1,189,Ginger-7 gms;Garlic-7 gms; Common salt-15 gms; Cooking oil-15 gms; Capsicum-30 gms; Beans-15 gms; carrot-15 gms;Mint leaves-15 gms; Lettuce Leaf-20 gms; Rice-50 gms
Quesedilla,1,78,Chicken-0.25 gms; Capsicum-30 gms; Common salt-4 gms; Black pepper-4 gms; Cooking oil-15 gms
Ragi Dosa,1,77,Ragi flour-62 gms; Cumin seeds-4 gms; Common salt-4 gms; Cooking oil-7 gms;
Ragi Idli,4,971,Ragi Flour-250 gms; Fenugreek seeds-7 gms; Common salt-7 gms; Cooking oil-7 gms; Urad Dal Flour-700 gms
LOBIA CHAT,4,375,Lobia-125 gms; Capsicum-62 gms; Cucumber-62 gms; Onion-62 gms; Coriander leaves-15 gms; Common salt-4 gms; Lemon-15 gms; Black pepper-15 gms; Chat Masala-15 gms
ZUCCHINI SALAD,1,414,Zucchini-200 gms; Onion-30 gms; CUCUMBER-30 gms; Lemon-15 gms; Garlic-4 gms; Common salt-15 gms; Parsley-15 gms; Black pepper-15 gms; Tomato-90 gms
PITA BREAD (WHEAT),1,164,Atta-125 gms; Yoghurt-30 gms; Sunflower oil-4 gms; Baking Soda-5 gms
Bajra Khichadi,1,1149,Gram dal-15 gms; Cumin seeds-15 gms; Asafoetida-4 gms; Chillies-10 gms; Common salt-15 gms; Sunflower oil-15 gms; Coriander leaves-15 gms; Bajra-500 gms; Tomato-90 gms; carrot-150 gms;Onion-125 gms; POTATO-150 gms; Ginger-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms
GHIYA CUCUMBER JUICE,1,255,Bottle gourd-125 gms; CUCUMBER-75 gms; Ginger-10 gms; Lemon-15 gms; Common salt-15 gms; Cumin seeds-15 gms;
GHIYA CUCUMBER AMLA JUICE,1,293,BOTTLE GOURD-150 gms; CUCUMBER-100 gms; Amla-40 gms;Mint leaves-3 gms;
Veg Basil ,1,231,"Onion-15 gms; Tomato-15 gms; Cucumber-15 gms; Capsicum, red-14 gms; Zucchini-15 gms; Coriander leaves-15 gms; Lemon-15 gms;Mint leaves-4 gms; Black pepper-4 gms; Common salt-4 gms; Cooking Oil-15 gms; Basil-100 gms"
Boiled Aloo,2,384,Potato-350 gms;Lemon-15 gms; Common salt-4 gms; Chat Masala-15 gms
Boiled Shakarkandi,2,734,Sweet potato-700 gms; Common salt-4 gms; Lemon-15 gms; Chat Masala-15 gms
Jeera Rice (Brown Rice),1,88,Rice-62 gms; Cumin seeds-7 gms; Common salt-4 gms; Cooking Oil-15 gms;
Jeera Rice (Basmati Rice),1,85,Rice-62 gms; Cumin seeds-4 gms; Common salt-4 gms; Cooking Oil-15 gms;
Stuffed Ragi Roti,1,307,Ragi flour-45 gms; Cauliflower-15 gms; Onion-15 gms; Ginger-15 gms; Coriander seeds-7 gms; Coriander leaves-15 gms; Common salt-15 gms; ; Rice Flour-150 gms; Garam Masala-15 gms; Cumin Powder-15 gms
Plain Dosa,1,310,Rice-250 gms; Gram dal-30 gms; Common salt-15 gms; Mustard oil-15 gms;
Uttapam,3,283,Rice-62 gms; Fenugreek seeds-4 gms; Cooking oil-7 gms; Onion-15 gms; Tomato-120 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Urad Dal Flour-15 gms
Ragi Wrap,1,130,Ragi Flour-45 gms; Cumin seeds-4 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Onion-15 gms; Tomato-7 gms; Capsicum-15 gms; Lettuce Leaf-15 gms; Mushroom-7 gms
Bajra Methi Khakra,2,861,Fenugreek leaves-62 gms; Mustard oil-15 gms; Turmeric powder-4 gms; Common salt-15 gms; Bajra-750 gms; Red chilli Powder-15 gms
Bajra Wrap,1,344,Spinach-15 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-15 gms; Common salt-15 gms;Black Pepper-4 gms; Bajra-250 gms; ; Green Chutney-15 gms
Besan Dhokla,4,591,Turmeric powder-1 gms; Besan-250 gms; Yoghurt-75 gms; MUSTARD SEEDS-24 gms; Olive oil-15 gms; Coriander leaves-30 gms; Baking Soda-5 gms; Ginger-0.25 gms; Lemon-1 gms; Cumin seeds-15 gms; Semolina-150 gms
Millets Dosa (Foxtail),1,180,Common salt-4 gms; Cooking oil-7 gms; Cumin seeds-4 gms; ; Millets-150 gms; Rice Flour-15 gms
Methi Water,1,7,FENUGREEK SEEDS-7 gms;
Pudina Water,1,8,Mint leaves-8 gms;
Methi-Ajwain Water,1,8,FENUGREEK SEEDS-7 gms; Ajwain-1 gms;
Chicken Kebab,4,357,Gram dal-30 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Cloves-2 gms; Black pepper-2 ; Cinnamon-0.25 gms; Chicken -150 gms; Common salt-15 gms; Mint leaves-15 gms; Coriander leaves-15 gms; Egg-15 gms; Ajwain-15 gms; Ginger powder-15 gms; Garlic Powder-15 gms; Red chilli Powder-15 gms
Kadha,1,71,Ginger-7 gms; Cloves-4 gms; Black pepper-4 gms; Cinnamon-7 gms; Cardamom-4 gms; Turmeric powder-15 gms; Lemon-15 gms; Saunf-15 gms
Lemon Tea,2,22,Tea-15 gms; Lemon-7 gms
Smoothie (In milk),1,425,"Milk-250 gms; Banana-100 gms;Blueberries-50 gms, Strawberries-25 gms"
Stuffed Bajara Roti,1,563,Onion-60 gms; Ginger-7 gms; Turmeric powder-4 gms; Cooking oil-15 gms; BAJRA-125 gms; POTATO-350 gms; Cumin seeds-1 gms; CORIANDER-1 gms
HARA MASALA KEBAB (Spinach),3,243,POTATO-1 75 gms; Coriander leaves-30 gms;Mint leaves-15 gms; Spinach-62 gms; Banana-25 gms; Ginger-7 gms;Garlic-7 gms; Common salt-7 gms; Cooking oil-15 gms
Chakhle's Shami Kebab,2,85,Onion-60 gms; Garlic-1 gms; Ginger-0.5 gms; CORIANDER-0.5 gms; Common salt-7 gms; Lemon-7 gms
Chana tikki (Kabuli chana),3,880,POTATO-250 gms; Common salt-15 gms; Cabbage-400 gms;Onion-125 gms; Ginger-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Coriander leaves-15 gms
Lettuce wrap Channa tikki,1,499,POTATO-250 gms; Onion-2 gms; Common salt-7 gms; Coriander leaves-15 gms; Cooking oil-15 gms; Lettuce Leaf-20 gms; CUCUMBER-20 gms; Tomato-20 gms; Channa Dal-150 gms
Millets Khichdi,1,689,Gram dal-30 gms; carrot-125 gms; Peas-125 gms; Capsicum-125 gms; Fenugreek leaves-15 gms; Tomato-90 gms; Cooking oil-15 gms; Ginger-7 gms; Common salt-7 gms;Millets-150 gms;
Aloo /Shakarkandi,2,6,SWEET POTATO-2 gms; Lemon-4 gms;
Sambar,4,26,Drumstick-53 gms; Carrot-53 gms; Mustard seeds-4 gms; Chillies-4 gms; Curry leaves-4gms; Coriander-4 gms; Common salt-2 gms; Cooking oil-4 gms; Dal-12 gms; Potato-53 gms; Ladies finger-53 gms; Onion-16 gms; Tomato-14 gms; Cumin seeds-4 gms; Brinjal-16 gms
Aloo Tikki,1,406,POTATO-350 gms; CORIANDER LEAVES-15 gms; Turmeric powder-4 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms
ALMOND FLOUR CHEELA,1,435,Common salt-15 gms;Roti-100 gms; Besan-30 gms; SPINACH-15 gms;Onion-125 gms; Coriander leaves-15 gms; Cumin Powder-15 gms; Coriander Powder-15 gms; Turmeric powder-15 gms; Olive oil-15 gms; Tomato-75 gms
"Carrot, Bell Pepper, Broccoli, Cucumber, and Beetroot Salad",1,258,carrot-50 gms; Capsicum-60 gms; CUCUMBER-40 gms; BEET ROOT-15 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms; Broccoli-62 gms
SPROUTS SALAD,1,620,BRUSSELS SPROUTS-250 gms; Tomato-62 gms; Onion-62 gms; CUCUMBER-62 gms; carrot-62 gms; Capsicum-62 gms; CORIANDER LEAVES-15 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms
Som Tam Green Papaya Salad,1,200,Papaya-80 gms; carrot-30 gms; Beans-50 gms; HONEY-15 gms; Lemon-10 gms; Coriander leaves-5 ; Garlic powder-15 gms
"Strawberry , orange Vegetable salad",1,564,ORANGE-250 gms; Lettuce Leaf-100 gms; CUCUMBER-0.5 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms; strawberry-15 gms; Chat Masala-15 gms; Vegetable Broth-150 gms
Chicken Salad with Plums,1,317,Chicken-100 gms; Lettuce Leaf-100 gms; Onion-60 gms; Common salt-7 gms; Black pepper-7 gms;Garlic-3 gms; Lemon-15 gms; Plum-25 gms
Boiled Chicken Salad,1,301,Chicken-100 gms; Lettuce Leaf-50 gms; CUCUMBER-50 gms; Onion-30 gms; Capsicum-20 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-10 gms;Parsley-10 gms;Garlic-2 gms; Olive oil-15 gms
Veg Soup,1,171,carrot-30 gms; Celery-20 gms; Capsicum-30 gms; Peas-15 gms; Onion-50 gms;Garlic-1 gms; Common salt-0.5 gms; Black pepper-0.5 gms; Olive oil-15 gms;
Veg Shorba (No Dal),1,187,carrot-30 gms; Celery-20 gms; Beans-15 gms; Onion-50 gms; Tomato-20 gms; Ginger-10 gms; Cooking oil-10 gms; Cumin seeds-5 gms; Turmeric powder-5 gms; Common salt-7 gms; Coriander leaves-15 gms
Jowar Cheela,1,590,Onion-250 gms; Common salt-15 gms; Roti-100 gms ; Cumin seeds-15 gms; Red chilli Powder-15 gms; Turmeric powder-15 gms; Tomato-150 gms; Capsicum-15 gms; Olive oil-15 gms
Non-vegetarian tacos,2,502,Mutton-300 gms; Common salt-7 gms; Cooking oil-15 gms; Onion-15 gms; Tomato-120 gms; Lettuce Leaf-15 gms; Coriander leaves-15 gms; Lemon-15 gms; Maize
Gravy Chicken,1,407,Onion-20 gms; Tomato-120 gms; Chillies-2 gms; Cooking oil-10 gms; Cardamom-1 gms; Cloves-2gms; Turmeric powder-1 gms; Fenugreek leaves-1 gms; Coriander leaves-5 gms; Common salt-15 gms; Garlic powder-15 gms; Ginger powder-15 gms; Chicken-200 gms
Amaranth Flour Cheela,1,193,Onion-120 gms;Garlic-5 gms; Cooking oil-4 gms; Common salt-15 gms; Turmeric powder-4 gms; Tomato-30 gms; Capsicum-15 gms
Shredded Chicken Wrapped (wrap),1,650,Chicken-180 gms; Tomato-180 gms; Onion-125 gms; Avocado-150 gms; Olive oil-15 gms
Masoor Dal,5,679,Gram dal-250 gms; ONION-120 gms; Tomato- 240 gms; Garlic-6 gms; Ginger-4 gms; Chillies-2 gms; Turmeric powder-7 gms; Cumin seeds-24 gms; Common salt-5 gms; Cooking oil-15 gms; Coriander seeds-1 gms; Chillies-1.5 gms
Mattar ki sabzi,1,297,Onion-1 gms; Tomato-240 gms; Garlic-2 gms; Ginger-4 gms; Chillies-3 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-3 gms
Apple and Sprouts Salad,1,424,Apple-200 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Moong dal-150 gms; Lettuce Leaf-20 gms; Walnut-9 gms
Caesar Salad,1,145,Lettuce Leaf-100 gms; Lemon-5 gms; Garlic-5 gms; HONEY-5 gms; Common salt-15 gms; Black pepper-15 gms
TOMATO & CUCUMBER SALAD,1,402,Tomato-240 gms; CUCUMBER-100 gms; Lettuce Leaf-2 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Lemon-15 gms; Common salt-15 gms
POTATO SALAD,1,492,POTATO-2 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Common salt-15 gms; Curd-150 gms; Black pepper-250 gms; Red chilli Powder-15 gms; Onion-15 gms; Garlic powder-15 gms
Avocado Salad,1,485,Tomato-240 gms; CUCUMBER ; Lettuce Leaf-20 gms; Avocado-150 gms ; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Lemon-15 gms; Common salt-15 gms; Olive oil-15 gms
Veg & FRUIT SALAD,1,599,Lettuce Leaf-20 gms; Capsicum-150 gms; carrot-60 gms; CUCUMBER-70 gms; Apple-200gms; Almond-5 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Plum-55 gms; Walnut-9 gms
QUINOA SALAD,1,155,Quinoa-62 gms; carrot-1 gms; Zucchini-62 gms; CUCUMBER-0.5 ; Lemon-15 gms; Common salt-15 gms
MILLETS SALAD,4,465,carrot-10 gms; Zucchini-25 gms; CUCUMBER-100 gms; Lemon-15 gms; Common salt-15 gms; Millets-300 gms
Soya wheat bran Roti (50% wheat bran & 50% soya flour),1,305,Soya flour-5 tablespoon; Common salt-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Warm Water-200 gms; Wheat Flour-Atta)-60 gms)
Risotto With Additional Dressing(Corn),1,149,Babycorn-15 gms; Onion-62 gms;Garlic-7 gms; MUSHROOM-15 gms; Peas-15 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-5 gms
Herbal Tea,1,24,Tea-24 gms
Non-veg SOUP,1,649,carrot-60 gms; Onion-120 gms;Garlic-4 gms; Ginger-5 gms; Peas-125 gms; Beans-125 gms; Black pepper-62 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-4 gms; Chicken-100 gms; Cumin seeds-7 gms; Coriander seeds-7 gms
Oats Poha,2,395,Chillies-15 gms; ; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Oats-150 gms;Onion-125 gms; Red chilli Powder-15 gms; Lemon-15 gms; Olive oil-15 gms
Non-veg Platter (Chicken),3,701,Common salt-15 gms; Black pepper-15 gms; Spinach-250 gms; Lettuce Leaf-250 gms; CUCUMBER-70 gms; VINEGAR-15 gms; Chicken-75 gms; Chillies-7 gms; Garlic-4 gms
Multigrain Paratha,1,375,Wheat-62 gms; Common salt-15 gms; Cooking oil-15 gms; Cumin Powder-4 gms; Oats Flour-200 gms; TURMERIC-4 gms; Besan-75 gms
Methi Thepla,1,449,Wheat-250 gms; Fenugreek leaves-125 gms; Turmeric powder-7 gms; Common salt-7 gms; Cooking oil-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Cumin Powder-15 gms
Baba Ganoush with Hummus,1,305,Brinjal-200 gms; Garlic-2 gms; Lemon-30 gms; Cooking oil-15 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-4 gms; Cumin seeds -24 gms
Aloo Curry,1,482,POTATO-200 gms; Onion-75 gms; Tomato-120 gms; Coriander leaves-15 gms; Turmeric powder-15 gms; Fenugreek leaves-0.5 gms; Common salt-7 gms; Cooking oil-15 gms; Chillies-15 gms; Coriander seeds-15 gms
Kale Chips,3,180,Cooking oil-15 gms; Common salt-15 gms; Kale-150 gms
Jau Wrap,1,392,Onion-75 gms; Capsicum-10 gms; carrot-10 gms; Common salt-7 gms; Cooking oil-7 gms; CABBAGE-75 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Besan-30 gms; Barley Flour-150 gms; CORIANDER LEAVES-7 gms; Coriander Powder-7 gms
JAWAR WRAP,3,80,Onion-15 gms; Capsicum-2 gms; carrot-1 gms; Common salt-15 gms; Cooking oil-7 gms; Jowar-40 gms
GRILLED PINEAPPLE/ APPLE,4,116,Pineapple-75 gms; HONEY-15 gms; Cinnamon-15 gms; Common salt-7 gms; Ginger-4 gms
Mixed Veg Soup,1,871,Onion-62 gms;Garlic-30 gms; carrot-150 gms; Celery-150 gms; Cabbage-150 gms; Beans-150 gms; Tomato-150 gms; Peas-15 gms; Common salt-7 gms; Black pepper-7 gms
Veg Clear Soup,1,1154,carrot-150 gms; Celery-150 gms; Onion-150 gms; Beans-150 gms; Peas-15 gms; MUSHROOM-150 gms; Capsicum-150 gms; Garlic-7 gms; soya sauce-15 gms; Parsley-15 gms; Common salt-15 gms; Black pepper-7 gms; Onion-150 gms; Olive oil-15 gms; Sesame Oil-15 gms
Soupy Noodles,1,394,carrot-100 gms; Onion-75 gms; Zucchini-50 gms; Peas-25 gms; Cabbage-75 gms; MUSHROOM-50 gms;Garlic-4 gms; VINEGAR-15 gms
Spinach Soup,1,638,Spinach-62 gms; Onion-150 gms; Garlic-15 gms; POTATO-75 gms; Celery-150 gms; carrot-150 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-15 gms; Cumin seeds-7 gms
Sweet Corn Kernels,1,223,Onion-75 gms; Garlic-15 gms; carrot-75 gms; Peas-15 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-15 gms;Parsley-7 gms; Cumin seeds-7 gms
Vegetable Oats Soup,1,276,Onion-75 gms; Garlic-2 gms; carrot-30 gms; Celery-25 gms; Capsicum-50 gms; Zucchini-50 gms; OATMEAL-30 gms; Common salt-7 gms; Black pepper-7 gms
Green Salad,1,283,Lettuce Leaf-75 gms; Spinach-75 gms; Cabbage-62 gms; CUCUMBER-50 gms; VINEGAR-7 gms; Common salt-7 gms; Black pepper-7 gms
Green Papaya Salad,1,432,PAPAYA-250 gms; Beans-100 gms; carrot-60 gms;Garlic-7 gms; Lemon-15 gms
Quinoa Soup,1,237,Quinoa-62 gms; carrot-50 gms; Onion-75 gms; Garlic-7 gms; Common salt-4 gms; Olive oil-24 gms; Celery-15 gms
Pasta salad,1,606,"CUCUMBER-150 gms; Capsicum-200 gms;Parsley-7 gms;Garlic-15 gms; Common salt-7 gms; Black pepper-7 gms, Pasta-150 gms, Tomato-70 gms"
"Pomegranate, Avocado, Grapes & Zucchini salad",1,483,Zucchini-62 gms; Grapes-62 gms; Avocado-150 gms; POMEGRANATE-150 gms;Mint leaves-15 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms; Olive oil-15 gms
Quinoa and chicken salad,1,516,Quinoa-100 gms; Chicken-70 gms; Common salt-7 gms; Black pepper-7 gms; Capsicum-150 gms; CUCUMBER-150 gms; Parsley-15 gms; Lemon-15 gms;Garlic-2 gms
Methi matar Vegetable,1,489,Fenugreek leaves-150 gms; Peas-75 gms; Tomato-120 gms; Onion-75 gms; Chillies-7 gms; Cumin powder-4 gms; Mustard seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Garlic-7 gms; Ginger-7 gms; Chillies-7 gms; Coriander seeds-7 gms
Mooli Methi Vegetable,1,680,Radish-150 gms; Fenugreek leaves-300 gms; Tomato-75 gms; Onion-75 gms; Chillies-7 gms; Cumin powder-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Garlic-7 gms; Ginger-7 gms; Chillies-7 gms; Coriander seeds-7 gms
Palak aloo Vegetable,1,216,Spinach-1.5 ; POTATO ; Tomato-120 gms)-1 gms; Onion-50 gms;; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms
Mix Vegetable,1,203,Cauliflower-15 gms; carrot-15 gms; Beans-15 gms; Cabbage-15 gms; Capsicum-15 gms; Peas-10 gms; Tomato-35 gms; Onion-15 gms; Chillies-0.25 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-0.5 gms; Cooking oil-15 gms; Coriander leaves-15 gms
Dal Cheela,1,234,Gram dal-125 gms; Onion-15 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-15 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Ginger-0.5 gms
Dhokla,4,167,Bread-2- gms; Avocado-60 gms;Garlic-7 gms; CUCUMBER-30 gms; Tomato-30 gms; Lemon-0.25 gms; Common salt-15 gms
SEEKH KEBAB (CHICKEN),4,381,Lemon-15 gms; Cooking oil-15 gms; Common salt-7 gms; Coriander Leaves-30 gms; Ginger powder-15 gms; Garlic powder-15 gms; Red chilli Powder-24 gms;Onion-125 gms; Cumin Powder-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Chicken-90 gms
SAMAKHIA RICE,1,172,Cumin seeds-15 gms; Cooking oil-7 gms; Samakhia Rice-150 gms
Spring Roll,4,387,carrot-75 gms; CABBAGE-125 gms; Capsicum-75 gms;Onion-60 gms; Ginger-15 gms; Rice Paper-8 gms; Black Pepper-7 gms; Common salt-7 gms; Cooking oil-15 gms
Grilled Vegetables,1,76,Capsicum-0.5 gms; Onion-0.5 gms; MUSHROOM-2 gms; Zucchini-0.5 gms; Tomato-0.5 gms; Common salt-4 gms; Black pepper-0.25 gms; Lemon-0.25 gms
Grilled Fruits,1,115,PEACHES-5 gms; Watermelon-25 gms; Plum-15 gms; Pear-30 gms; Pineapple-40 gms
Amla water,1,11,Amla-1 gms; Black pepper-1.5 gms;Mint leaves-5 gms
Prune and Imlie (Tamarind) Water,1,3,PRUNES-2 gms; TAMARIND-1 gms
Imlie & Prune Water with Mishri,4,102,PRUNES-2 gms; Tamarind-50 gms; Mishri-50 gms
Jau Roti (100%),4,150,Barley-150 gms
Kodo Millet Khichdi,4,469,carrot-75 gms; Capsicum-150 gms; Onion-75 gms; Peas-50 gms; Cumin seeds-15 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander Leaves-15 gms; Kodo Millet-200 gm; Turmeric powder-7 gms; Coriander Powder-7 gms; Ginger powder-15 gms; Garlic powder-15 gms; Chillies-15 gms
Chicken Curry,4,775,Cooking oil-15 gms; Common salt-15 gms; Chicken-350 gms;Onion-120 gms; Tomato-140 gms; Cumin seeds-15 gms; Cinnamon-15 gms; cardamom powder-15 gms; Garlic powder-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Red chilli Powder-15 gms; Coriander seeds-15 gms; Ginger powder-15 gms
Chicken keema,4,601,Chillies-7 gms; Cooking oil-15 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Common salt-15 gms;Onion-120 gms; Tomato-140 gms; Garlic powder-15 gms; Coriander Leaves-15 gms; Ginger powder-15 gms; Chicken-200 gms; Garam Masala-15 gms; Cumin Powder-15 gms; Coriander Powder-15 gms
Chana Dal,4,466,Gram dal-250 gms; Onion; Tomato-120 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Ginger powder-7 gms; Red chilli Powder-15 gms; Coriander Leaves-15 gms; Coriander Powder-15 gms
Rajma sabji,4,570,Rajma-250 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Onion-50 gms; Tomato-150 gms; Garlic-15 gms; Chillies-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Ginger-15 gms
Lobia sabji,4,714,Cooking oil-15 gms; Cumin seeds-7 gms; Onion-190 gms; Chillies-15 gms; Turmeric powder-7 gms; Common salt-15 gms; Tomato-90 gms; Garlic powder-15 gms; Coriander Leaves-15 gms; Lobia-300 gms; Ginger powder-15 gms; Coriander Powder-15 gms; Cumin Powder-15 gms
"Avocado, cherry Tomato, Cucumber, Lettuce leaves and Seeds Salad",1,486,Avocado-50 gms; Tomato-62 gms; CUCUMBER-62 gms; Lettuce Leaf-250 gms; Sunflower seeds-15 gms; PUMPKIN SEED-15 gms; Lemon-15 gms; Common salt-1 gms; Black pepper-1 gms; Olive oil-15 gms
Baby Corn and Broccoli Salad,1,334,Babycorn-62 gms; CUCUMBER-62 gms;Parsley-30 gms; Lemon-7 ml; Common salt-15 gms; Black pepper-15 gms; Broccoli-150 gms
