Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Uttapam,South,Breakfast,Veg,no-allergies,3 number,283,80,2,15,1,1,0.56225,"Rice, raw, milled - 0.25 cup; Fenugreek seeds - 0.25 tbsp; Asafoetida - 1 pinch; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Onion, small - 1 tbsp; Tomato, ripe, local - 1 tbsp; Capsicum, green - 1 tbsp; Carrot, orange - 1 tbsp; Coriander leaves - 1 tbsp; Red chilli Power - 1 tbsp; Urad Dal Flour - 1 tbsp"
Wheat bran roti Roll,North,"Breakfast,Lunch,Dinner",Veg,gluten allergy,1 medium,100,147,3,19,5,3,0.1105,"Wheat flour, atta - 2 tbsp; Mustard oil - 1 tbsp; Lettuce - 1 number; Cucumber, green, elongate - 1 tbsp; Capsicum, red - 1 tbsp; Carrot, red - 1 tbsp; Plain Water - 1 small glass"
Ragi Wrap,South,"Lunch,Dinner",Veg,no-allergies,1 medium,130,241,4,32,9,6,0.1673,"Ragi Flour - 3 tbsp; Chillies, green-1 - 1 small; Cumin seeds - 0.25 tbsp; Coriander leaves - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Onion, small - 1 tbsp; Tomato, ripe, local - 0.5 tbsp; Capsicum, green - 1 tbsp; Lettuce - 1 tbsp; Button mushroom, fresh - 0.5 tbsp"
Wheat Palak Wrap,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,480,1072,34,198,13,35,0.4589,"SPINACH - 0.5 cup; Onion, small - 1 tbsp; Capsicum, green - 1 tbsp; Button mushroom, fresh - 1 tbsp; Zucchini, green - 1 tbsp; Capsicum, red - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Cumin seeds - 0.25 tbsp; Common salt - 0.25 tbsp; Plain Water - 1 small glass; Wheat flour, atta - 1 glass; Garam Masala - 1 tbsp"
Bajra Methi Khakra,West,Snacks,Veg,no-allergies,2 small,861,563,16,102,7,14,0.2051,Fenugreek leaves - 0.25 cup; Mustard oil - 1 tbsp; Turmeric powder - 0.25 tbsp; Common salt - 1 tbsp; Bajra - 3 cup; Plain Water - 1 small glass; Red chilli Power - 1 tbsp
Yogurt Kebab,Continental,Snacks,Veg,dairy allergy,3 number,1190,281,23,18,12,5,2.5625,"Common salt - 1 tbsp; Hung Curd Dressing - 1 medium bowl; Paneer - 1 cup; POTATO - 1 cup; Coriander leaves - 1 cup; Mint leaves - 1 tbsp; Ginger, fresh - 1 tbsp; Chat Masala - 1 tbsp; Cumin seeds - 1 tbsp; oilve Oil - 1 tbsp"
Saute Paneer,Continental,Snacks,Veg,dairy allergy,1 medium katori,236,282,15,10,19,1,1.3859,"Paneer - 1 medium katori; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Onion, big - 1 tbsp; Capsicum, green - 1 tbsp; Capsicum, red - 1 tbsp; Zucchini, green - 1 tbsp; Common salt - 0.25 tbsp; Coriander leaves - 1 tbsp"
Bajra Wrap,"North, West","Lunch,Dinner",Veg,no-allergies,1 medium,344,377,11,70,3,11,0.0915,"Spinach - 1 tbsp; Capsicum, green - 1 tbsp; Carrot, orange - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 0.25 tbsp; Bajra - 1 cup; Plain Water - 1 small glass; Green Chutney - 1 tbsp"
Saute Tofu,Continental,"Lunch,Dinner,Snacks",Veg,soy allergy,1 medium katori,389,264,22,17,9,7,0.7545,"Common salt - 1 tbsp; Coriander leaves - 1 tbsp; Tofu - 1 small bowl; Red chilli Power - 1 tbsp; Onion Finely Chopped - 1 small onion; Garlic, big clove - 1 tbsp; Chillies, green-1 - 1.5 tbsp; Coriander Powder - 1 tbsp; Turmeric powder - 1 tbsp"
Besan Dhokla,West,"Breakfast,Snacks",Veg,no-allergies,4 number,591,226,11,28,7,5,0.7103,"Chillies, green-1 - 1 number; Turmeric powder - 1 gms; Plain Water - 1 small cup; Besan - 1 Cup; Greek Yogurt - 0.5 small bowl; MUSTARD SEEDS - 1.5 tbsp; oilve Oil - 1 tbsp; Coriander leaves - 2 tbsp; Baking Soda - 1 Tsp; Ginger, fresh - 0.25 gms; Lemon, juice - 1 ml; CUMIN SEEDS - 1 tbsp; Suji - 1 Small bowl"
Millets Dosa (Foxtail),South,Breakfast,Veg,no-allergies,1 medium,180,97,1,4,9,1,0.0874,"Asafoetida - 1 pinch; Common salt - 0.25 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Cumin seeds - 0.25 tbsp; Plain Water - 1 small glass; Millets(Foxtail) - 1 medium katori; Rice Flour - 1 tbsp"
Bhel (no papri),North,Snacks,Veg,nut allergy,1 medium katori,520,935,21,196,5,11,1.267,"Rice puffed - 1 cup; Onion, small - 1 tbsp; Tomato, ripe, local - 1 tbsp; Cucumber, green, elongate - 1 tbsp; Carrot, orange - 1 tbsp; Potato, brown skin, small - 1 tbsp; Coriander leaves - 2 tbsp; Chillies, green-1 - 1 number; Common salt - 1 tbsp; Lemon, juice - 1 tbsp; Chat Masala - 1 tbsp; Cumin seeds - 1 tbsp"
Methi Water,"North,South,East,West",Drinks,Veg,no-allergies,1 glass,7,33,3,4,1,1,0.0245,FENUGREEK SEEDS - 0.5 tbsp; Plain Water - 1 small glass
Pudina Water,"North,South,East,West",Drinks,Veg,no-allergies,1 glass,8,3,0,0,0,0,0.0032,Mint leaves - 8 number; Plain Water - 1 medium glass
Methi-Ajwain Water,"North,South,East,West",Drinks,Veg,no-allergies,1 glass,8,12,1,1,0,0,0.0254,FENUGREEK SEEDS - 0.5 tbsp; Omum - 1 gms; Plain Water - 1 medium glass
Fish Salad,Continental,"Snacks,Lunch,Dinner",Non-veg,fish allergy,1 medium bowl,487,400,43,6,20,2,1.0611,"Salmon - 2 number; Lemon, juice - 1 tbsp; Common salt - 0.5 tbsp; Lettuce - 6 number; Cucumber, green, elongate - 0.25 cup; Capsicum, green - 1 tbsp; Capsicum, red - 1 tbsp; Capsicum, yellow - 1 tbsp; Onion, small - 1 small katori; Garlic, big clove - 1 number; Pepper, black - 0.25 tbsp"
Chicken Kebab,Continental,"Snacks,Lunch,Dinner",Non-veg,no-allergies,4 number,357,102,6,5,6,2,1.309,"Bengal gram, dal - 2 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 1 tbsp; Cloves - 2 number; Pepper, black - 2 number; CINNAMOM - 0.25 number; Chicken, poultry, breast, skinless - 1 medium katori; Common salt - 1 tbsp; Chillies, green-1 - 1 small; Mint leaves - 1 tbsp; Coriander leaves - 1 tbsp; Egg, poultry, white, raw - 0.25 medium; Carom(Ajwain) Seeds - 1 tbsp; Ginger Powder - 1 tbsp; Garlic Powder - 1 tbsp; Red chilli Power - 1 tbsp"
Stuffed Jau Roti (Spinach),North,"Lunch,Dinner",Veg,gluten allergy,1 medium,615,254,5,20,17,6,0.6015,"Spinach - 1 cup; Chillies, green-1 - 1 tbsp; Common salt - 1 tbsp; Jaw (Barley) Dalia - 1 Small Bowl; Plain Water - 1 small glass; Onion Finely Chopped - 1 small onion; Turmeric powder - 1 tbsp; Cumin seeds - 1 tbsp; Coriander Powder - 1 tbsp; oilve Oil - 1 tbsp"
Oats Stuffed Roti (Fenugreek),North,"Lunch,Dinner",Veg,gluten allergy,4 medium,600,185,7,34,2,7,0.619,"Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Wheat flour, atta - 1 cup; Plain Water - 1 small glass; Oats - 1 small bowl; Fenugreek Leaves Vegetables - 0.5 cup chopped; Coriander Powder - 1 tbsp; TURMERIC - 1 tbsp; Red chilli Power - 1 tbsp"
Oats Cheela,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,240,454,18,69,12,12,0.237,"Onion, small - 1 tbsp; TOMATO RIPE - 1 tbsp; Capsicum, green - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Chillies, green-1 - 1 small; Oats - 1 small bowl"
Egg white Fritatta,Continental,Breakfast,Eggetarian,egg allergy,1 medium,292,110,11,2,5,1,1.0325,"Egg, poultry, white, raw - 3 number; Milk, whole, Cow - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; TOMATO RIPE - 1 tbsp; Capsicum, green - 1 tbsp; Button mushroom, fresh - 1 tbsp; Spinach - 1 tbsp; Pepper, black - 0.5 tbsp"
Kahda,"North,South,East,West",Drinks,Veg,no-allergies,1 glass,71,69,1,11,1,6,0.1915,"Ginger, fresh - 7 gms; Cloves - 4 number; Pepper, black - 4 number; CINNAMOM - 7 gms; Cardamom, green - 4 number; Turmeric powder - 1 tbsp; Lemon, juice - 1 tbsp; Plain Water - 1 small glass; Saunf - 1 tbsp"
Lemon Tea,"North,South,East,West",Drinks,Veg,no-allergies,2 cup,22,1,0,1,0,0,0.0478,Tea leaves - 1 tbsp; Plain Water - 1 large cup; lemon juice - 0.5 tbsp
Makhana Milk,North,Drinks,Veg,dairy allergy,1 glass,530,701,18,89,10,0,1.1025,MAKHANA - 1 cup; MILK (cow) - 1 cup; Brown sugar - 1 tbsp; cardamom powder - 1 tbsp
Smoothie (In milk),Continental,Drinks,Veg,no-allergies,1 glass,425,183,8,40,0,4,0.7,"SKIMMED MILK, liquid - 1 cup; Banana - 1 medium; Mixed Berries (Blueberries, Strawberries, Raspberries) - 0.5 small bowl"
Milk Tea,"North,South,East,West",Drinks,Veg,dairy allergy,2 cup,280,45,5,7,0,0,0.775,"Plain Water - 1 small glass; Tea Bag - 1 tbsp; Ginger, fresh - 1 tbsp grated; Skimmed Milk - 1 medium glass"
Nimbupani,"North,South,East,West",Drinks,Vegan,citrus allergy,4 glass,132,11,0,0,0,0,0.0507,"Lemon, juice - 0.5 cup; Common salt - 0.5 tbsp; Plain Water - 4 large glass"
Chicken Biryani,"North,South,East,West","Lunch,Dinner",Non-veg,dairy allergy,1 medium katori,441,763,25,37,35,7,1.66035,"Chicken, poultry, leg, skinless - 100 gms; CURDS (cow milk) - 30 gms; Common salt - 1 tbsp; Cardamom, green - 2 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Onion, big - 2 tbsp; Cumin seeds - 0.5 tbsp; CINNAMOM - 1 number; Cloves - 2 number; Nutmeg - 1 tbsp; Mace - 0.25 gms; Mint leaves - 2 gms; SKIMMED MILK, liquid - 1 tbsp; Rice - 1 small bowl; Red chilli Power - 1 tbsp; Ginger Paste - 1 tbsp; Garlic paste - 1 tbsp"
CHILLI CHICKEN,East,"Lunch,Dinner",Non-veg,soy allergy,1 medium katori,374,298,16,10,20,3,0.82375,"Chicken, poultry, breast, skinless - 60 gms; SOYA SAUCE - 1 tbsp; VINEGAR - 0.5 tbsp; Ginger, fresh - 1 tbsp; Garlic, small clove - 1 tbsp; Chillies, red - 0.5 tbsp; Onion, small - 1 small; Capsicum, green - 1 small; Chillies, green-1 - 1 small; Common salt - 1 tbsp; Coriander leaves - 1 tbsp; Plain Water - 1 small glass; oilve Oil - 1 tbsp"
Stuffed Bajara Roti,North,"Lunch,Dinner",Veg,no-allergies,1 medium,563,840,21,162,11,3,0.227,"Onion, small - 1 small; Chillies, green-1 - 1 number; Ginger, fresh - 0.5 tbsp; Turmeric powder - 0.25 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; BAJRA - 0.5 cup; Common salt - 0.5 pinch; Plain Water - 1 small glass; POTATO - 2 medium; CUMIN SEEDS - 1 gms; CORIANDER - 1 gms"
Stuffed Wheat Bran Roti,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,148,264,7,44,6,7,0.168,"Onion, small - 1 small; Chillies, green-1 - 1 number; Ginger, fresh - 0.5 tbsp; Turmeric powder - 0.25 tbsp; Common salt - 0.5 pinch; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Wheat flour, atta - 0.25 cup"
HARA MASALA KEBAB (Spinach),North,Snacks,Veg,no-allergies,3 medium,243,77,1,6,5,1,0.1197,"POTATO - 1 small; Coriander leaves - 2 tbsp; Mint leaves - 1 tbsp; Spinach - 0.25 cup; BANANA RIPE - 0.25 slice; Chillies, green-1 - 1 number; Ginger, fresh - 0.5 tbsp; Garlic, small clove - 0.5 tbsp; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
CHEESY CHICKEN PATTIES (Tikki),"North,South,East,West",Snacks,Non-veg,dairy allergy,1 medium,226,491,30,7,37,1,2.0701,"Chicken, poultry, breast, skinless - 60 gms; CHEESE - 0.25 cup; Egg, poultry, whole, raw - 1 small; Onion, small - 1 tbsp; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp; oilve Oil - 1 tbsp"
Soya granules,"North,South,East,West","Lunch,Dinner",Vegan,soy allergy,3 small,315,331,21,42,9,19,0.465,"Common salt - 1 tbsp; Ginger, fresh - 1 slice; Pepper, black - 0.5 tbsp; CURRY LEAVES - 5 gms; CORIANDER - 2 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; ONION, small - 1 small; CHILLIES, green - 1 gms; GINGER, fresh - 0.5 tbsp; Cumin seeds - 0.5 tbsp; CHILLIES, dry - 0.25 tbsp; CORIANDER LEAVES - 1 tbsp; Soya Granules - 1 small bowl"
Chakhle's Shami Kebab,"North,South,East,West",Snacks,Non-veg,no-allergies,2 number,85,18,1,3,0,1,0.0227,"Onion, small - 1 small; Chillies, green-1 - 1 small; Garlic, small clove - 1 gms; Ginger, fresh - 0.5 gms; CORIANDER - 0.5 gms; Common salt - 0.5 tbsp; Lemon, juice - 0.5 tbsp"
Chana tikki (Kabuli chana),North,Snacks,Veg,no-allergies,3 small,880,261,12,33,9,9,0.5575,"POTATO - 1 cup; Chillies, green-1 - 1 gms; Common salt - 1 tbsp; Channa Dal &amp; Cabbage Tikki - 4 medium; Onion Finely Chopped - 1 small onion; Ginger Paste - 1 tbsp; Cumin seeds - 1 tbsp; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp; Coriander leaves - 1 tbsp"
Lettuce wrap Channa tikki,North,Snacks,Veg,no-allergies,1 medium,499,466,24,71,11,17,0.2938,"POTATO - 1 small; Onion, small - 2 gms; Common salt - 0.5 tbsp; Coriander leaves - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; LETTUCE TREE LEAVES, mature - 2 large; CUCUMBER - 2 slice; TOMOTO, green - 2 slice; Channa Dal - 1 small bowl"
Millets Khichdi,North,"Lunch,Dinner",Veg,no-allergies,1 medium katori,689,442,21,69,6,16,0.5777,"Green gram, dal - 2 tbsp; CARROT - 0.5 cup; Peas, fresh - 0.5 cup; Capsicum, green - 0.5 cup; Fenugreek leaves - 1 tbsp; Tomato, green - 1 small; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Ginger, fresh - 0.5 tbsp; TURMERIC - 1 pinch; Common salt - 0.5 tbsp; Cooked Foxtail Millets - 1 medium katori; Plain Water - 1 small glass"
Vermicelli,South,Breakfast,Veg,gluten allergy,1 medium,394,710,24,117,14,27,0.4979,"COOKING OIL (Gnut,ging,palm,must,coconut - 2 tbsp; Wheat, vermicelli - 0.5 cup; Common salt - 0.5 tbsp; Chillies, red - 1 gms; Curry leaves - 5 gms; Ginger, fresh - 0.5 slice; Chillies, green-1 - 1 gms; Onion, small - 1 gms; TURMERIC - 0.5 tbsp; CARROT - 0.25 cup; Capsicum, green - 0.25 cup; PEAS green - 0.25 cup; LEMON - 0.5 tbsp; CORIANDER - 1 tbsp; Plain Water - 1 small glass"
Dal Wali Roti,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,111,263,13,42,2,12,0.0962,"Wheat flour, atta - 2 tbsp; Green gram, dal - 2 tbsp; Ginger, fresh - 0.5 tbsp; Cumin seeds - 0.5 tbsp; Onion, small - 1 tbsp; Common salt - 0.5 tbsp; CORIANDER - 1 tbsp; Plain Water - 1 small glass"
GRILLED FISH,Continental,"Lunch,Dinner",Non-veg,fish allergy,1 medium,120,305,21,0,25,0,0.54,"Lemon, juice - 0.5 gms; Common salt - 1 pinch; Pepper, black - 1 pinch; Parsley - 1 pinch; Salmon - 100 gms; oilve Oil - 1 tbsp"
Aloo /Shakarkandi,North,Snacks,Veg,no-allergies,2 medium,6,79,1,19,0,1,0.0034,SWEET POTATO - 2 gms; LEMON - 0.25 tbsp; Common salt - 1 pinch
Aloo Tikki,North,Snacks,Veg,no-allergies,1 medium,406,279,2,32,15,1,0.211,"POTATO - 2 medium; CORIANDER LEAVES - 1 tbsp; Chillies, green-1 - 1 gms; Turmeric powder - 0.25 tbsp; Cumin seeds - 0.5 tbsp; MANGO POWDER - 0.25 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
ALMOND FLOUR CHEELA,West,"Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,435,757,19,48,55,18,0.4245,Common salt - 1 tbsp; Almond Flour Roti - 1 medium; Besan - 2 tbsp; SPINACH - 1 tbsp; Onion Finely Chopped - 1 small onion; Coriander leaves - 1 tbsp; Ground Cumin - 1 tbsp; Coriander Powder - 1 tbsp; Turmeric powder - 1 tbsp; Plain Water - 1 small glass; oilve Oil - 1 tbsp; Tomatoes Chopped - 0.5 small bowl
ACHARI TIKKA (PANEER),North,Snacks,Veg,dairy allergy,1 medium,401,1186,68,68,73,13,2.714,Paneer - 1 cup; Common salt - 1 tbsp; Mustard seeds - 1 tbsp; Fenugreek seeds - 1 tbsp; Plain Yogurt - 1 gm; Ginger Paste - 1 tbsp; Garlic paste - 1 tbsp; Red chilli Power - 1 tbsp; Turmeric powder - 1 tbsp; Coriander Powder - 1 tbsp; Cumin seeds - 1 tbsp; Garam Masala - 1 tbsp; oilve Oil - 1 tbsp
"Carrot, Bell Pepper, Broccoil, Cucumber, and Beetroot Salad",Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,258,103,4,20,0,8,0.2018,"CARROT - 50 gms; Capsicum, red - 30 gms; Capsicum, yellow - 30 gms; CUCUMBER - 40 gms; BEET ROOT - 15 gms; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Steamed Broccoil - 0.25 cup"
SPROUTS SALAD,Continental,"Lunch,Dinner",Vegan,no-allergies,1 medium bowl,620,245,16,40,1,9,0.314,"BRUSSELS SPROUTS - 1 cup; Tomato, ripe, local - 0.25 cup; Onion, small - 0.25 cup; CUCUMBER - 0.25 cup; CARROT - 0.25 cup; Capsicum, green - 0.25 cup; CORIANDER LEAVES - 1 tbsp; LEMON - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp"
"Carrot, Bell Pepper, Broccoil, Cucumber , Beetroot Salad and Egg Salad",Continental,"Lunch,Dinner",Eggetarian,egg allergy,1 medium bowl,388,144,11,21,0,8,0.7913,"Egg, poultry, white, boiled - 2 gms; CARROT - 50 gms; Capsicum, red - 30 gms; Capsicum, yellow - 30 gms; CUCUMBER - 40 gms; BEET ROOT - 15 gms; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Steamed Brocoil - 1 small serving"
VegSeeds Salad,Continental,"Lunch,Dinner",Veg,nut allergy,1 medium bowl,293,288,14,23,15,5,0.19085,"LETTUCE TREE LEAVES, mature - 80 gms; CUCUMBER - 60 gms; Onion, small - 30 gms; CARROT - 30 gms; Capsicum, red - 30 gms; Sunflower seeds - 15 gms; PUMPKIN SEED - 15 gms; Garlic, small clove - 3 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp"
Som Tam Green Papaya Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,200,80,3,15,0,4,0.1845,"PAPAYA GREEN - 80 gms; CARROT - 30 gms; French beans, country - 50 gms; HONEY - 1 tbsp; Lemon, juice - 10 gms; Coriander leaves - 5 number; Garlic paste - 1 tbsp"
"Strawberry , orange Vegetable salad",Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,564,112,4,21,0,3,0.16395,"ORANGE - 2 medium; LETTUCE - 100 gms; CUCUMBER - 0.5 gms; Lemon, juice - 1 tbsp; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp; Strawberry - 1 small berry; Chat Masala - 1 tbsp; Vegetable Broth - 1 Small Bowl"
Chicken Salad with Plums,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,317,263,25,17,9,5,0.7253,"Chicken, poultry, breast, skinless - 100 gms; Lettuce - 100 gms; Onion, small - 60 gms; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp; Garlic, small clove - 3 gms; Lemon, juice - 1 tbsp; Plum - 1 medium"
Sesame Chicken Salad,Continental,"Lunch,Dinner",Non-veg,sesame allergy,1 medium bowl,495,274,27,17,9,3,0.8125,"Chicken, poultry, breast, skinless - 100 gms; LETTUCE - 80 gms; CABBAGE - 80 gms; CARROT - 50 gms; CUCUMBER - 50 gms; Capsicum, red - 50 gms; Onion, small - 1 small; Common salt - 1 tbsp; Ginger, fresh - 5 gms; Garlic, small clove - 5 gms"
Boiled Chicken Salad,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,301,357,25,8,24,2,0.8111,"Chicken, poultry, breast, skinless - 100 gms; Lettuce - 50 gms; CUCUMBER - 50 gms; Onion, small - 30 gms; Capsicum, green - 20 gms; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp; Lemon, juice - 10 gms; Parsley - 10 gms; Garlic, small clove - 2 gms; oilve Oil - 1 tbsp"
Roast Chicken Tomato Salad,Continental,"Lunch,Dinner",Non-veg,egg allergy,1 medium bowl,327,192,13,7,12,1,1.1139,"LETTUCE - 50 gms; Tomato, green - 50 gms; Onion, small - 30 gms; Common salt - 0.5 gms; Pepper, black - 0.5 gms; Lemon, juice - 10 gms; Parsley - 10 gms; Garlic, small clove - 2 gms; oilve Oil - 1 tbsp; Roasted Chicken (Boneless) - 1 small piece"
VegSoup,North,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,171,236,5,18,15,6,0.1842,"Carrot, red - 30 gms; CELERY LEAVES - 20 gms; Capsicum, green - 30 gms; PEAS green - 15 gms; Onion, small - 50 gms; Garlic, small clove - 1 gms; Common salt - 0.5 gms; Pepper, black - 0.5 gms; oilve Oil - 1 tbsp; Plain Water - 1 small cup"
VegShorba (No Dal),North,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,187,184,4,13,11,8,0.17395,"Carrot, red - 30 gms; CELERY LEAVES - 20 gms; French beans, country - 15 gms; Onion, small - 50 gms; Tomato, green - 20 gms; Ginger, fresh - 10 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 10 gms; Cumin seeds - 5 gms; Turmeric powder - 5 gms; Common salt - 0.5 tbsp; Coriander leaves - 1 tbsp"
Jowar Cheela,West,Breakfast,Veg,no-allergies,1 medium,590,302,4,31,16,6,0.558,"Onion, small - 1 cup; Common salt - 1 tbsp; Jawar Roti - 1 small; Plain Water - 1 small glass; Cumin seeds - 1 tbsp; Red chilli Power - 1 tbsp; Turmeric powder - 1 tbsp; 1Tomatoes Chopped - 1 small bowl; Capsicum Vegetable - 1 tbsp; oilve Oil - 1 tbsp"
Paneer Wrap In Soya Palak Roti,Continental,"Lunch,Dinner,Snacks",Veg,dairy allergy,1 medium,180,210,11,28,4,5,0.3707,"Spinach - 2 tbsp; Wheat flour, atta - 2 tbsp; Cumin seeds - 0.25 tbsp; Paneer - 30 gms; Onion, small - 1 tbsp; Ginger, fresh - 0.25 tbsp; Common salt - 0.5 tbsp; Capsicum, green - 1 tbsp; CARROT - 1 tbsp; CUCUMBER - 1 tbsp; Coriander leaves - 1 tbsp"
Dahi Vada,North,Snacks,Veg,dairy allergy,2 medium,251,179,8,17,9,4,0.5007,"Black gram, dal - 4 tbsp; Asafoetida - 1 pinch; Cumin seeds - 0.25 tbsp; Chillies, green-1 - 1 gms; Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; CURDS (cow milk) - 1 small katori; Coriander leaves - 1 tbsp"
Non-vegetarian tacos,Continental,"Lunch,Dinner",Non-veg,no-allergies,2 small,502,79,1,1,8,1,7.59895,"Common salt - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Onion, small - 1 tbsp; Tomato, ripe, local - 1 tbsp; LETTUCE - 1 tbsp; Coriander leaves - 1 tbsp; Lemon, juice - 1 tbsp"
Gravy Chicken,North,"Lunch,Dinner",Non-veg,no-allergies,1 medium katori,407,237,9,8,17,3,1.5568,"Onion, small - 20 gms; Tomato, ripe, local - 10 gms; Chillies, green-1 - 2 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 10 ml; Cardamom, green - 1 gms; Cloves - 2 gms; Turmeric powder - 1 gms; Fenugreek leaves - 1 gms; Coriander leaves - 5 gms; Common salt - 1 tbsp; Garlic paste - 1 tbsp; Ginger Paste - 1 tbsp; Roasted Chicken (Boneless) - 0.5 large piece"
Chicken Rice,"North,South,East,West","Lunch,Dinner",Non-veg,soy allergy,1 medium bowl,422,352,15,51,10,2,1.574,"Onion, small - 20 gms; Ginger, fresh - 5 gms; Garlic, small clove - 5 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 2 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; RICE, raw, handpounded - 60 gms; Roasted Chicken (Boneless) - 1 small piece"
Amaranth Flour Cheela,West,"Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,193,323,10,60,3,6,0.1395,"Onion, small - 20 tbsp; Garlic, small clove - 5 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 0.25 tbsp; Common salt - 1 tbsp; Chillies, green-1 - 1 small; Turmeric powder - 0.25 tbsp; Plain Water - 1 small glass; TOMOTO, green - 2 tbsp; Capsicum, green - 1 tbsp; Amaranth Cheela - 1 small"
Curd Rice,South,"Lunch,Dinner",Veg,dairy allergy,1 medium katori,286,483,12,84,9,4,0.7827,"Rice, parboiled, milled - 100 gms; CURDS (cow milk) - 100 gms; Milk, whole, Cow - 30 gms; CARROT - 10 gms; CUCUMBER - 10 gms; Coriander leaves - 5 gms; Chillies, green-1 - 5 gms; Ginger, fresh - 2 gms; Curry leaves - 2 gms; Mustard seeds - 2 gms; Black gram, dal - 2 gms; Asafoetida - 1 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 2 gms; Common salt - 1 tbsp"
Egg Rice,"North,South,East,West","Lunch,Dinner",Eggetarian,egg allergy,1 medium bowl,265,143,5,23,2,4,0.7705,"Egg, poultry, white, raw - 2 gms; Onion, small - 30 gms; Capsicum, green - 20 gms; MUSHROOM - 10 gms; Peas, fresh - 10 gms; Garlic, small clove - 5 gms; Ginger, fresh - 2 gms; Chillies, green-1 - 2 gms; SOYA SAUCE - 2 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 2 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Rice - 1 small bowl"
Ragi Roti (20% Ragi & 80% wheat),South,"Lunch,Dinner",Veg,gluten allergy,1 medium,76,255,4,23,16,2,0.1515,"WHEAT, flour(whole) - 25 gms; Ragi - 6 gms; Common salt - 1 tbsp; CUMIN SEEDS - 1 tbsp; oilve Oil - 1 tbsp; Plain Water - 1 small glass"
